3137|0
3135|0
3128|0
3114|0
3124|0
2450|0
3103|0
3119|0
3101|0
2910|0
3068|0
3077|0
3085|0
2948|0
3008|0
nancybarrios|0
1456|0
2918|0
victoralturria|0
2901|0
1083|0
491|0
2633|0
1651|0
193|0
oscarbouzos|0
469|0
2748|0
560|0
1323|0
1690|0
277|0
2794|0
antonellaalesandrini|0
2807|0
2662|0
2460|0
2661|0
2045|0
453|0
905|0
2158|0
2544|0
1324|0
778|0
666|0
887|0
1096|0
920|0
1894|0
1448|0
1851|0
2564|0
1841|0
2076|0
1949|0
943|0
1745|0
2416|0
895|0
1710|0
1797|0
1018|0
2096|0
2204|0
901|0
1661|0
538|0
1824|0
482|0
1732|0
1386|0
1294|0
1646|0
2059|0
2459|0
2351|0
1267|0
2755|0
2018|0
2003|0
2418|0
1217|0
1929|0
2105|0
2265|0
1382|0
2551|0
525|0
612|0
1086|0
1702|0
232|0
2501|0
1464|0
516|0
1535|0
1530|0
1658|0
2499|0
2372|0
1761|0
206|0
1065|0
2272|0
2257|0
603|0
2032|0
2280|0
1548|0
2266|0
1977|0
2740|0
1664|0
1476|0
2279|0
1622|0
1886|0
389|0
1965|0
2506|0
2248|0
1088|0
1813|0
mircobarbara|0
1838|0
3131|0
3145|0
3146|0
3148|0
3149|0
2278|0
3053|0
3184|0
3032|0
3127|0
3150|0
3155|0
3164|0
3156|0
3159|0
3161|0
41432|1
769875|0
